"today","grDetails.attend","grDetails.sp_att","grDetails.who","grDetails.sp_gen","grDetails.rep","grDetails.rep_some","grDetails.rep_gen","grDetails.gender2","grDetails.rep_rel","before_cook.grow","before_cook.color1.color1_loc","before_cook.color1.color1_lmpr","before_cook.color1.same_cl1","before_cook.aromay.aroma1_loc_C","before_cook.aromay.aroma1_lmpr_C","before_cook.aromay.same_ar1","before_cook.eas1.eas1_loc","before_cook.eas1.eas1_lmpr","before_cook.eas1.same_eas1","before_cook.time1.time1_loc","before_cook.time1.time1_impr","before_cook.time1.same_tm1","before_cook.exp1.exp1_loc","before_cook.exp1.exp1_lmpr","before_cook.exp1.same_exp1","before_cook.aromax.aroma1_loc_E","before_cook.aromax.aroma1_lmpr_E","before_cook.aromax.same_exp1","before_cook.taste1.taste1_loc","before_cook.taste1.taste1_impr","before_cook.taste1.same_tast1","before_cook.text1.text1_loc","before_cook.text1.text1_lmpr","before_cook.text1.same_txt1","after_cooking.color2.color2_loc","after_cooking.color2.color2_lmpr","after_cooking.color2.same_cl2","after_cooking.aromam.aroma2_loc_C","after_cooking.aromam.aroma2_lmpr_C","after_cooking.aromam.same_ar2","after_cooking.eas2.eas2_loc","after_cooking.eas2.eas2_lmpr","after_cooking.eas2.same_eas2","after_cooking.time2.time2_loc","after_cooking.time2.time2_impr","after_cooking.time2.same_tm2","after_cooking.exp2.exp2_loc","after_cooking.exp2.exp2_lmpr","after_cooking.exp2.same_exp2","after_cooking.aroma2.aroma2_loc_E","after_cooking.aroma2.aroma2_lmpr_E","after_cooking.aroma2.same_exp2","after_cooking.taste2.taste2_loc","after_cooking.taste2.taste2_impr","after_cooking.taste2.same_tast2","after_cooking.text2.text2_loc","after_cooking.text2.text2_lmpr","after_cooking.text2.same_txt2","plant","timing.time1","timing.time2","wgt_bf.WL_b","wgt_bf.WR_b","wgt_aft.WL_a","wgt_aft.WR_a","diff_L","diff_R","farmer_ID","vilID","subID","distID"
"2023-07-04","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a",12,11,4,0,15,0,0,9,5,0,15,0,0,15,0,0,15,0,0,15,0,0,4,11,0,0,16,0,3,14,0,12,0,0,5,11,0,0,17,0,1,16,0,1,15,0,1,15,0,17,4.9,4.6,993,993,539,518,454,475,NA,NA,NA,NA
"2023-07-04","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a",12,11,4,0,15,0,0,9,5,0,15,0,0,15,0,0,15,0,0,15,0,0,4,11,0,0,16,0,3,14,0,12,0,0,5,11,0,0,17,0,1,16,0,1,15,0,1,15,0,17,4.9,4.6,993,993,539,518,454,475,"F_68",3,2,1
"2023-07-04","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a",12,11,4,0,15,0,0,9,5,0,15,0,0,15,0,0,15,0,0,15,0,0,4,11,0,0,16,0,3,14,0,12,0,0,5,11,0,0,17,0,1,16,0,1,15,0,1,15,0,17,4.9,4.6,993,993,539,518,454,475,"F_64",3,2,1
"2023-07-04","No","n/a","n/a","n/a","Yes","No","Female","n/a","b",12,11,4,0,15,0,0,9,5,0,15,0,0,15,0,0,15,0,0,15,0,0,4,11,0,0,16,0,3,14,0,12,0,0,5,11,0,0,17,0,1,16,0,1,15,0,1,15,0,17,4.9,4.6,993,993,539,518,454,475,"F_67",3,2,1
"2023-07-04","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a",12,11,4,0,15,0,0,9,5,0,15,0,0,15,0,0,15,0,0,15,0,0,4,11,0,0,16,0,3,14,0,12,0,0,5,11,0,0,17,0,1,16,0,1,15,0,1,15,0,17,4.9,4.6,993,993,539,518,454,475,"F_65",3,2,1
"2023-07-04","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a",12,11,4,0,15,0,0,9,5,0,15,0,0,15,0,0,15,0,0,15,0,0,4,11,0,0,16,0,3,14,0,12,0,0,5,11,0,0,17,0,1,16,0,1,15,0,1,15,0,17,4.9,4.6,993,993,539,518,454,475,"F_61",3,2,1
"2023-07-04","Yes","Yes","q","Male","n/a","n/a","n/a","n/a","n/a",12,11,4,0,15,0,0,9,5,0,15,0,0,15,0,0,15,0,0,15,0,0,4,11,0,0,16,0,3,14,0,12,0,0,5,11,0,0,17,0,1,16,0,1,15,0,1,15,0,17,4.9,4.6,993,993,539,518,454,475,"F_62",3,2,1
"2023-07-04","Yes","Yes","q","Male","n/a","n/a","n/a","n/a","n/a",12,11,4,0,15,0,0,9,5,0,15,0,0,15,0,0,15,0,0,15,0,0,4,11,0,0,16,0,3,14,0,12,0,0,5,11,0,0,17,0,1,16,0,1,15,0,1,15,0,17,4.9,4.6,993,993,539,518,454,475,"F_66",3,2,1
"2023-07-04","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a",12,11,4,0,15,0,0,9,5,0,15,0,0,15,0,0,15,0,0,15,0,0,4,11,0,0,16,0,3,14,0,12,0,0,5,11,0,0,17,0,1,16,0,1,15,0,1,15,0,17,4.9,4.6,993,993,539,518,454,475,"F_70",3,2,1
"2023-07-04","Yes","Yes","c","Male","n/a","n/a","n/a","n/a","n/a",12,11,4,0,15,0,0,9,5,0,15,0,0,15,0,0,15,0,0,15,0,0,4,11,0,0,16,0,3,14,0,12,0,0,5,11,0,0,17,0,1,16,0,1,15,0,1,15,0,17,4.9,4.6,993,993,539,518,454,475,"F_63",3,2,1
